,userID,date,Hour,Minute,wpkg,grade
0,U1000003,2022-11-17,5,23,2.7493860000000008,0.017399999999999992
1,U1000003,2022-11-17,5,24,3.2125550000000005,1.7513333333333332
2,U1000003,2022-11-17,5,25,3.34424,1.4088333333333332
3,U1000003,2022-11-17,5,26,2.3217176470588234,1.9394117647058826
4,U1000003,2022-11-17,5,27,3.038325,-1.7122916666666663
5,U1000003,2022-11-17,5,28,3.3831216666666672,-0.02566666666666666
6,U1000003,2022-11-17,5,30,0.05478124999999999,0.09
7,U1000003,2022-11-17,5,33,0.856743396226415,0.11320754716981131
8,U1000003,2022-11-17,5,35,1.9384699999999997,-0.3365
9,U1000003,2022-11-17,5,36,1.8769483333333339,-0.2251666666666667
10,U1000003,2022-11-17,5,37,1.8316099999999997,-0.032400000000000005
11,U1000003,2022-11-17,5,38,4.04856,-0.42483333333333356
12,U1000000,2022-11-17,5,40,2.1040909090909095,0.01890909090909091
13,U1000003,2022-11-17,5,40,2.8041183333333333,-0.4236666666666666
14,U1000000,2022-11-17,5,41,2.767291666666668,0.4018333333333336
15,U1000003,2022-11-17,5,41,3.236831666666666,-0.012999999999999998
16,U1000003,2022-11-17,5,43,2.774691666666666,-0.09200000000000003
17,U1000003,2022-11-17,5,49,4.645268333333334,-0.02316666666666667
18,U1000003,2022-11-17,5,50,4.235596666666666,0.21666666666666665
19,U1000003,2022-11-17,5,51,2.319318918918919,0.4248648648648648
20,U1000003,2022-11-17,5,53,3.929831666666667,-0.10316666666666668
21,U1000003,2022-11-17,5,54,2.8971166666666677,0.06983333333333333
22,U1000000,2022-11-17,5,55,0.7964583333333334,-0.06216666666666667
23,U1000003,2022-11-17,5,55,1.1888900000000002,0.21233333333333335
24,U1000000,2022-11-17,5,56,2.087708333333334,-0.32599999999999996
25,U1000003,2022-11-17,5,56,1.5728433333333331,0.026166666666666668
26,U1000003,2022-11-17,5,57,1.311315,-0.06716666666666665
27,U1000003,2022-11-17,5,58,1.341412727272727,0.04545454545454546
28,U1000003,2022-11-17,6,0,2.565843333333334,0.441
29,U1000003,2022-11-17,6,1,3.5076116666666666,1.454333333333333
30,U1000003,2022-11-17,6,2,3.0987616666666664,-0.3906666666666665
31,U1000003,2022-11-17,6,3,2.8148166666666663,0.10899999999999999
32,U1000010,2022-11-17,6,3,1.2052283333333336,0.019333333333333293
33,U1000003,2022-11-17,6,4,4.178598333333334,4.579833333333331
34,U1000010,2022-11-17,6,4,1.0418600000000002,1.5821666666666665
35,U1000003,2022-11-17,6,5,2.7481483333333334,0.8615
36,U1000010,2022-11-17,6,5,0.6591099999999999,-1.7474999999999992
37,U1000003,2022-11-17,6,6,2.8349749999999996,-1.238
38,U1000003,2022-11-17,6,7,3.627371666666666,-0.8853333333333332
39,U1000003,2022-11-17,6,8,2.0845716666666663,0.6131666666666665
40,U1000010,2022-11-17,6,8,1.0831366666666664,0.25216666666666676
41,U1000000,2022-11-17,6,9,2.9822916666666677,0.004499999999999997
42,U1000003,2022-11-17,6,10,3.05252,0.2570909090909091
43,U1000003,2022-11-17,6,11,2.7010300000000003,0.5846666666666667
44,U1000010,2022-11-17,6,11,2.353488333333333,0.6026666666666667
45,U1000003,2022-11-17,6,12,2.8144066666666676,0.25300000000000006
46,U1000010,2022-11-17,6,12,1.4664733333333335,0.49350000000000016
47,U1000003,2022-11-17,6,13,2.83148,0.511
48,U1000010,2022-11-17,6,13,1.5503816666666663,0.5201666666666667
49,U1000003,2022-11-17,6,14,3.1349799999999997,0.7859999999999999
50,U1000010,2022-11-17,6,14,1.6668633333333331,0.16266666666666668
51,U1000003,2022-11-17,6,15,3.041351666666667,1.2711666666666677
52,U1000010,2022-11-17,6,15,2.5120166666666655,2.0746666666666664
53,U1000003,2022-11-17,6,16,2.035598333333333,-1.3738333333333337
54,U1000010,2022-11-17,6,16,1.7176399999999996,2.373666666666666
55,U1000003,2022-11-17,6,17,5.841361666666667,1.239666666666667
56,U1000010,2022-11-17,6,17,0.6905049999999998,-1.1791666666666665
57,U1000003,2022-11-17,6,18,3.551846666666666,1.3558333333333328
58,U1000003,2022-11-17,6,19,2.188473333333334,-1.4116666666666662
59,U1000003,2022-11-17,6,20,3.466258333333333,0.02650000000000003
60,U1000003,2022-11-17,6,21,2.921401666666668,0.3109999999999999
61,U1000010,2022-11-17,6,21,1.4701549999999997,0.9361666666666666
62,U1000003,2022-11-17,6,22,4.553095,-1.8936666666666666
63,U1000010,2022-11-17,6,22,0.2785363636363637,1.6277272727272731
64,U1000003,2022-11-17,6,23,1.553712765957447,-0.06595744680851065
65,U1000010,2022-11-17,6,23,0.4473093750000001,-0.454375
66,U1000003,2022-11-17,6,24,0.14862307692307694,-0.991153846153846
67,U1000010,2022-11-17,6,24,1.1261649999999999,-2.2535000000000003
68,U1000000,2022-11-17,6,25,3.2827083333333333,-0.18400000000000002
69,U1000010,2022-11-17,6,25,1.7139566666666668,-0.3718333333333333
70,U1000000,2022-11-17,6,26,2.6331250000000006,-0.09166666666666665
71,U1000010,2022-11-17,6,26,1.1778062500000004,-0.8633333333333335
72,U1000000,2022-11-17,6,27,2.8639583333333336,0.019499999999999997
73,U1000003,2022-11-17,6,27,2.727983333333332,-0.3978333333333334
74,U1000010,2022-11-17,6,27,1.9085249999999996,-1.1025
75,U1000000,2022-11-17,6,28,2.4493749999999994,0.2666666666666667
76,U1000003,2022-11-17,6,28,2.0368111111111107,-0.04
77,U1000010,2022-11-17,6,28,1.4651166666666666,0.29116666666666663
78,U1000000,2022-11-17,6,29,2.814583333333334,0.1095
