,indexvalue,userID,date,Hour,Minute,distance_per_minute,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,enhanced_altitude,hear_rate,max_heart_rate_perct
0,0,U1000000,2022-11-19,6,27,0.4275,25.648799999999998,152.83333333333331,1.9104166666666669,0.5077499999999999,66.0,0.0,9.633333333333356,136.33333333333331,0.7179666666666666
1,1,U1000000,2022-11-19,6,28,0.3773,22.640159999999987,124.7,1.5587499999999996,0.4142883333333333,66.28333333333332,0.42850000000000016,11.450000000000019,137.33333333333337,0.7232666666666666
2,2,U1000000,2022-11-19,6,29,0.4445,26.669280000000004,145.88333333333333,1.8235416666666668,0.48466166666666666,77.08333333333334,0.0,11.469999999999995,139.08333333333343,0.7324733333333334
3,3,U1000000,2022-11-19,6,30,0.4687,28.12392,159.4666666666667,1.993333333333333,0.5297933333333333,81.34999999999997,0.0,10.42666666666667,139.5,0.7346683333333333
4,4,U1000000,2022-11-19,6,31,0.3704,22.224972413793104,70.0344827586207,0.8754310344827583,0.23266724137931027,48.017241379310335,0.0,10.593103448275864,136.75862068965515,0.7202379310344831
5,5,U1000000,2022-11-19,6,32,0.2152,12.910114285714286,107.85714285714286,1.3482142857142858,0.35832857142857144,51.57142857142857,0.005714285714285714,10.542857142857153,125.42857142857142,0.6605428571428571
6,6,U1000000,2022-11-19,6,35,0.4887,29.320885714285712,212.26190476190473,2.6532738095238106,0.705197619047619,84.92857142857142,0.0,9.904761904761905,145.30952380952382,0.7652642857142857
7,7,U1000000,2022-11-19,6,36,0.5205,31.228740000000002,177.80000000000007,2.222500000000002,0.5907016666666667,84.03333333333332,0.0,10.08,149.68333333333334,0.7883016666666667
8,8,U1000000,2022-11-19,6,37,0.4984,29.901000000000007,181.76666666666668,2.272083333333333,0.6038849999999999,86.7333333333333,0.0,10.096666666666664,147.65,0.7775850000000002
9,9,U1000000,2022-11-19,6,38,0.3684,22.104857142857146,169.21428571428572,2.115178571428571,0.5621761904761904,73.52380952380955,0.0,10.219047619047606,138.11904761904762,0.7273880952380951
10,10,U1000000,2022-11-19,6,39,0.4972,29.829119999999996,163.58333333333331,2.0447916666666663,0.543465,86.64999999999999,0.0,10.710000000000008,146.63333333333333,0.7722299999999999
11,11,U1000000,2022-11-19,6,40,0.4905,29.431379999999997,174.4666666666667,2.180833333333333,0.5796266666666667,80.11666666666666,0.0,11.333333333333323,143.38333333333333,0.7551200000000002
12,12,U1000000,2022-11-19,6,41,0.536,32.161860000000004,188.54999999999998,2.356875,0.6264216666666667,87.43333333333338,0.0,11.993333333333343,148.13333333333335,0.7801416666666665
13,13,U1000000,2022-11-19,6,42,0.5349,32.09387999999999,186.56666666666666,2.332083333333334,0.6198283333333334,83.05,0.0,11.82666666666668,151.8333333333333,0.7996366666666668
14,14,U1000000,2022-11-19,6,43,0.5367,32.20392,181.34999999999997,2.266875,0.6024983333333332,82.7,0.0,12.180000000000021,149.00000000000003,0.7847066666666666
15,15,U1000000,2022-11-19,6,44,0.5676,34.05305999999999,219.54999999999995,2.7443750000000002,0.7294033333333335,82.23333333333333,0.0,12.216666666666669,155.79999999999995,0.8205166666666668
16,16,U1000000,2022-11-19,6,45,0.5499,32.99196,184.01666666666668,2.3002083333333334,0.6113550000000002,85.63333333333335,0.0,12.50666666666665,154.68333333333334,0.8146349999999997
17,17,U1000000,2022-11-19,6,46,0.5413,32.47854,191.13333333333333,2.389166666666666,0.6350016666666667,84.23333333333332,0.0,12.68,151.0,0.7952333333333333
18,18,U1000000,2022-11-19,6,47,0.5674,34.04105999999998,193.83333333333331,2.4229166666666657,0.6439666666666668,87.58333333333334,0.0,12.866666666666637,149.73333333333326,0.7885699999999999
19,19,U1000000,2022-11-19,6,48,0.5582,33.491400000000006,185.3166666666667,2.3164583333333324,0.6156716666666668,84.55000000000003,0.0,12.643333333333315,150.79999999999998,0.7941783333333334
20,20,U1000000,2022-11-19,6,49,0.5962,35.77128,219.3333333333334,2.7416666666666667,0.7286883333333333,86.54999999999994,0.0,12.679999999999996,152.01666666666665,0.8005866666666668
21,21,U1000000,2022-11-19,6,50,0.4844,29.061959999999996,143.38333333333338,1.7922916666666668,0.4763583333333332,65.68333333333332,0.0,9.693333333333335,150.85,0.7944516666666666
22,22,U1000000,2022-11-19,6,51,0.5063,30.375300000000006,155.75,1.9468750000000001,0.5174416666666667,70.06666666666665,0.0,8.506666666666666,146.7333333333333,0.772755
23,23,U1000000,2022-11-19,6,52,0.5289,31.733939999999997,203.75000000000006,2.546875000000001,0.6769149999999999,84.18333333333335,0.0,8.263333333333335,150.4666666666667,0.7924233333333334
24,24,U1000000,2022-11-19,6,53,0.5197,31.179719999999996,223.81666666666663,2.7977083333333317,0.7435816666666668,89.78333333333333,0.0,10.406666666666668,156.33333333333331,0.8233216666666666
25,25,U1000000,2022-11-19,6,54,0.5671,34.02786000000002,206.48333333333335,2.5810416666666667,0.6859916666666666,90.0,0.051666666666666645,12.683333333333337,159.08333333333331,0.8378000000000003
26,26,U1000000,2022-11-19,6,55,0.5969,35.81166,209.45000000000002,2.6181249999999996,0.6958433333333329,91.86666666666667,0.0,13.506666666666662,157.30000000000007,0.8283900000000002
27,27,U1000000,2022-11-19,6,56,0.5705,34.22909999999998,289.4166666666668,3.6177083333333324,0.9615133333333332,94.65000000000002,0.9708333333333332,19.310000000000006,162.93333333333337,0.8580850000000003
28,28,U1000000,2022-11-19,6,57,0.6416,38.49629999999999,188.08333333333337,2.3510416666666667,0.6248583333333334,79.65000000000002,-0.24383333333333337,18.19333333333334,163.55000000000004,0.861325
29,29,U1000000,2022-11-19,6,58,0.5705,34.22700000000001,255.01666666666668,3.187708333333333,0.8472349999999997,89.41666666666667,0.965333333333334,24.426666666666662,167.35000000000005,0.8813450000000002
30,30,U1000000,2022-11-19,6,59,0.6698,40.188600000000015,177.60000000000005,2.2199999999999993,0.5900266666666665,81.38333333333333,-0.8829999999999993,19.769999999999996,159.68333333333337,0.8409650000000002
31,31,U1000000,2022-11-19,7,0,0.6441,38.64516000000001,146.93333333333337,1.836666666666667,0.4881483333333334,75.31666666666669,-0.6493333333333333,17.30666666666667,154.4166666666667,0.81323
32,32,U1000000,2022-11-19,7,1,0.6016,36.09666,194.11666666666665,2.4264583333333323,0.6449033333333332,81.24999999999999,0.1958333333333334,15.563333333333341,155.66666666666669,0.8198033333333332
33,33,U1000000,2022-11-19,7,2,0.651,39.062820000000016,207.9666666666666,2.5995833333333334,0.6909233333333333,88.98333333333332,-0.8465,10.203333333333328,151.83333333333331,0.7996266666666666
34,34,U1000000,2022-11-19,7,3,0.517,31.017659999999996,275.5833333333334,3.444791666666667,0.9155566666666666,91.56666666666669,1.506333333333334,16.520000000000014,166.15000000000003,0.8750316666666668
35,35,U1000000,2022-11-19,7,4,0.3438,20.626151351351353,152.43243243243248,1.9054054054054055,0.5064135135135135,62.378378378378365,0.8870270270270267,21.7945945945946,167.7027027027027,0.8832081081081082
36,36,U1000000,2022-11-19,7,8,0.4957,29.74235294117647,193.70588235294122,2.4213235294117643,0.643535294117647,75.88235294117645,-0.13235294117647056,20.352941176470583,135.17647058823533,0.7118941176470589
37,37,U1000000,2022-11-19,7,9,0.673,40.37868,135.1,1.6887500000000009,0.44883166666666674,73.0333333333333,-1.42,14.466666666666669,154.75,0.8149866666666667
38,38,U1000000,2022-11-19,7,10,0.6361,38.166060000000016,258.70000000000005,3.23375,0.8594683333333333,86.34999999999998,1.2123333333333337,12.070000000000004,157.7666666666667,0.8308533333333333
39,39,U1000000,2022-11-19,7,11,0.6438,38.62553999999999,176.06666666666666,2.2008333333333336,0.5849433333333334,80.63333333333337,-0.2954999999999998,14.143333333333338,158.43333333333328,0.8343799999999998
40,40,U1000000,2022-11-19,7,12,0.6195,37.17258,213.7166666666667,2.6714583333333333,0.7100266666666668,85.33333333333331,0.5066666666666666,17.97666666666667,159.89999999999995,0.8421116666666665
41,41,U1000000,2022-11-19,7,13,0.5989,35.93682000000001,258.23333333333323,3.2279166666666668,0.857915,87.88333333333333,1.1248333333333336,19.993333333333318,158.28333333333333,0.8335983333333333
42,42,U1000000,2022-11-19,7,14,0.7264,43.58153999999999,135.4166666666666,1.6927083333333335,0.4498916666666667,80.8,-0.8616666666666666,20.436666666666675,164.23333333333338,0.8649266666666667
43,43,U1000000,2022-11-19,7,15,0.7035,42.20843999999999,207.95,2.5993749999999993,0.6908599999999998,81.19999999999997,0.31400000000000006,16.81333333333334,160.28333333333342,0.84413
44,44,U1000000,2022-11-19,7,16,0.7556,45.33636,189.5666666666667,2.3695833333333334,0.629785,82.93333333333334,-0.7709999999999998,11.426666666666666,160.05000000000004,0.8428916666666667
45,45,U1000000,2022-11-19,7,17,0.7349,44.09183999999999,247.25,3.0906249999999997,0.8214233333333332,86.20000000000002,-0.10400000000000001,9.25666666666667,161.15000000000003,0.8486966666666668
46,46,U1000000,2022-11-19,7,18,0.7265,43.59012,168.61666666666667,2.1077083333333326,0.5601849999999999,84.35000000000004,-0.30483333333333335,5.916666666666669,157.45000000000002,0.8292149999999999
47,47,U1000000,2022-11-19,7,19,0.5368,32.20962000000001,112.08333333333337,1.4010416666666665,0.3723683333333334,72.3833333333334,-0.0011666666666666676,4.353333333333335,147.59999999999994,0.7773316666666666
48,48,U1000000,2022-11-19,7,20,0.4775,28.65282000000001,235.83333333333331,2.9479166666666656,0.7834916666666665,77.83333333333336,0.0,4.870000000000004,155.41666666666663,0.8184916666666665
49,49,U1000000,2022-11-19,7,21,0.619,37.13993999999999,323.4333333333333,4.042916666666668,1.074525,91.88333333333331,0.1559999999999999,8.33,166.23333333333335,0.8754649999999998
50,50,U1000000,2022-11-19,7,22,0.7105,42.63096,259.65,3.245624999999999,0.8626283333333336,85.43333333333332,0.0,9.3,172.75000000000006,0.9097783333333332
51,51,U1000000,2022-11-19,7,23,0.7299,43.79604000000002,240.4999999999999,3.006250000000001,0.7990083333333332,86.9,0.0,9.239999999999995,169.58333333333334,0.8930916666666665
52,52,U1000000,2022-11-19,7,24,0.7438,44.626139999999985,214.4333333333333,2.680416666666667,0.7124033333333335,87.4,0.0,9.193333333333323,167.53333333333333,0.8823033333333332
