,Unnamed: 0,indexnum,userID,sessionID,step,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,max_heart_rate_perct
2352,2352,2352,U1000000,s_131,52.0,44.62614,214.4333333,2.680416667,0.712403333,87.4,0.0,0.882303333
2353,2353,2353,U1000000,s_131,53.0,36.10176,202.5666667,2.532083333,0.672983333,78.98333333,0.0,0.834731667
2354,2354,2354,U1000000,s_131,54.0,41.85048,288.1833333,3.602291667,0.957416667,91.85,0.0,0.871595
2355,2355,2355,U1000000,s_131,55.0,39.4317,175.15,2.189375,0.581883333,77.66666667,0.0,0.876065
2356,2356,2356,U1000000,s_131,56.0,32.34012,340.3333333,4.254166667,1.130676667,84.2,0.0,0.80313
2357,2357,2357,U1000000,s_131,57.0,41.349,224.4166667,2.805208333,0.745568333,81.36666667,0.0,0.881351667
2358,2358,2358,U1000000,s_131,58.0,43.70772,213.2833333,2.666041667,0.708576667,89.3,0.0,0.880123333
2359,2359,2359,U1000000,s_131,59.0,43.89186,191.5,2.39375,0.636216667,82.31666667,0.0,0.865006667
2360,2360,2360,U1000000,s_131,60.0,31.91964,169.75,2.121875,0.563948333,68.25,0.0,0.841581667
2361,2361,2361,U1000000,s_131,61.0,38.17073077,352.2115385,4.402644231,1.170136538,91.55769231,0.0,0.839380769
2362,2362,2362,U1000000,s_131,62.0,43.63272,209.3,2.61625,0.69535,90.38333333,0.0,0.893881667
2363,2363,2363,U1000000,s_131,63.0,42.71334,201.5833333,2.519791667,0.669715,86.56666667,0.0,0.866851667
2364,2364,2364,U1000000,s_131,64.0,44.85528,213.1666667,2.664583333,0.708198333,84.68333333,0.0,0.843245
2365,2365,2365,U1000000,s_131,65.0,41.67774,263.4166667,3.292708333,0.875138333,80.41666667,0.0,0.832718333
2366,2366,2366,U1000000,s_131,66.0,32.1897,239.5,2.99375,0.79568,66.6,0.0,0.877395
2367,2367,2367,U1000000,s_131,67.0,43.5414,257.9,3.22375,0.856815,92.7,0.0,0.896886667
2368,2368,2368,U1000000,s_131,68.0,42.86058,221.3666667,2.767083333,0.735443333,85.23333333,0.0,0.878533333
