,userID,date,Hour,Minute,wpkg_3,enhanced_speed_3
0,U1000003,2022-11-17,6,4,4.178598333333334,20.846399999999996
1,U1000010,2022-11-17,6,15,2.5120166666666655,21.359879999999997
2,U1000010,2022-11-17,6,16,1.7176399999999996,20.468399999999995
3,U1000004,2022-11-17,18,47,3.105626666666666,21.963839999999998
4,U1000004,2022-11-17,18,52,2.863966666666667,22.031880000000005
5,U1000004,2022-11-17,18,54,3.0035999999999996,20.962199999999996
6,U1000004,2022-11-17,19,9,3.9164383333333332,22.87632
7,U1000004,2022-11-17,19,14,3.4065316666666665,20.5572
8,U1000004,2022-11-17,19,17,3.8630666666666666,7.42212
9,U1000004,2022-11-17,19,18,3.5454916666666674,9.021360000000001
10,U1000004,2022-11-17,19,19,3.1590133333333332,11.48064
11,U1000004,2022-11-17,19,20,3.6804066666666664,13.07838
12,U1000004,2022-11-17,19,21,4.145946666666667,15.243240000000004
13,U1000004,2022-11-17,19,22,1.9391899999999995,20.684640000000005
14,U1000004,2022-11-17,19,24,3.101805,18.644100000000005
15,U1000004,2022-11-17,19,26,3.6718433333333342,14.914380000000003
16,U1000004,2022-11-17,19,27,3.802925,11.97144
17,U1000004,2022-11-17,19,28,4.586038333333332,12.143880000000003
18,U1000004,2022-11-17,19,31,3.9249933333333344,17.088959999999997
19,U1000004,2022-11-17,19,32,3.098423333333334,13.24698
20,U1000004,2022-11-17,19,33,3.0722966666666665,11.15388
21,U1000004,2022-11-17,19,37,3.6752233333333324,10.738860000000003
22,U1000004,2022-11-17,19,38,2.5493283333333334,14.527500000000002
23,U1000004,2022-11-17,19,39,3.6015716666666666,20.765640000000005
24,U1000004,2022-11-17,19,46,3.7099149999999987,9.84198
25,U1000004,2022-11-17,19,47,3.28806,9.90978
26,U1000004,2022-11-17,19,48,1.865763333333333,15.423359999999999
27,U1000004,2022-11-17,19,51,3.0531549999999994,18.23304
28,U1000010,2022-11-19,5,43,1.7519383333333332,17.397779999999994
29,U1000010,2022-11-19,5,51,2.1133700000000006,16.41066
30,U1000010,2022-11-19,5,58,2.0691816666666663,10.585799999999999
31,U1000010,2022-11-19,5,59,2.517826666666667,9.52212
32,U1000010,2022-11-19,6,0,2.231396666666667,8.353199999999998
33,U1000010,2022-11-19,6,1,2.243606666666667,10.410599999999999
34,U1000010,2022-11-19,6,2,2.2216999999999985,11.2599
35,U1000010,2022-11-19,6,3,1.7947666666666664,11.914800000000001
36,U1000010,2022-11-19,6,4,1.842055,12.090720000000003
37,U1000010,2022-11-19,6,5,1.9986433333333327,13.705319999999999
38,U1000010,2022-11-19,6,6,1.7048466666666664,12.692399999999997
39,U1000010,2022-11-19,6,7,1.7397316666666665,13.948799999999999
40,U1000003,2022-11-19,6,10,3.6539100000000007,26.48999999999999
41,U1000010,2022-11-19,6,10,1.5815900000000003,16.88622
42,U1000010,2022-11-19,6,11,2.0932216666666674,15.135960000000004
43,U1000010,2022-11-19,6,12,2.162598333333334,10.573620000000004
44,U1000010,2022-11-19,6,13,2.052905,9.618900000000002
45,U1000010,2022-11-19,6,14,2.160076666666667,9.047579999999998
46,U1000010,2022-11-19,6,15,2.98895,9.343019999999996
47,U1000010,2022-11-19,6,16,0.8042616666666664,10.2387
48,U1000004,2022-11-19,6,18,2.683558333333334,22.069440000000007
49,U1000010,2022-11-19,6,18,1.5980600000000005,21.364259999999998
50,U1000004,2022-11-19,6,19,3.5144116666666676,16.46334
51,U1000003,2022-11-19,6,20,4.036838333333334,25.461660000000002
52,U1000004,2022-11-19,6,20,2.822516666666666,22.648739999999993
53,U1000003,2022-11-19,6,21,3.806791666666664,16.673160000000003
54,U1000003,2022-11-19,6,22,4.014821666666667,25.200659999999992
55,U1000004,2022-11-19,6,23,3.563291666666665,17.979600000000005
56,U1000004,2022-11-19,6,24,3.7840066666666665,15.301500000000004
57,U1000003,2022-11-19,6,25,4.493413333333335,17.38188
58,U1000004,2022-11-19,6,25,3.4328866666666666,11.967239999999995
59,U1000003,2022-11-19,6,26,4.176749999999999,14.887860000000002
60,U1000004,2022-11-19,6,26,3.4288266666666667,12.411720000000003
61,U1000003,2022-11-19,6,27,3.7218116666666665,13.000619999999996
62,U1000004,2022-11-19,6,27,4.183784999999999,12.95226
63,U1000010,2022-11-19,6,27,3.124221666666667,14.662259999999996
64,U1000003,2022-11-19,6,28,3.6323033333333337,12.314699999999998
65,U1000004,2022-11-19,6,28,4.867111666666667,20.164199999999997
66,U1000010,2022-11-19,6,28,1.4982550000000001,9.02358
67,U1000003,2022-11-19,6,29,4.110289999999998,12.88836
68,U1000003,2022-11-19,6,30,3.7705749999999996,16.60854
69,U1000010,2022-11-19,6,33,2.579261666666666,9.914220000000002
70,U1000010,2022-11-19,6,34,1.7381783333333334,8.755739999999998
71,U1000010,2022-11-19,6,35,2.842638333333334,8.414340000000001
72,U1000003,2022-11-19,6,36,5.114198333333335,31.11282000000001
73,U1000004,2022-11-19,6,36,3.3677949999999988,23.28516
74,U1000010,2022-11-19,6,36,2.1664750000000006,10.46508
75,U1000010,2022-11-19,6,37,1.69903,13.190400000000004
76,U1000010,2022-11-19,6,38,1.3284916666666664,15.395820000000002
77,U1000004,2022-11-19,6,39,4.040088333333334,18.18174
78,U1000003,2022-11-19,6,40,4.116456666666666,17.11925999999999
79,U1000004,2022-11-19,6,40,5.4754433333333346,15.868020000000001
80,U1000003,2022-11-19,6,41,4.189293333333334,13.12494
81,U1000004,2022-11-19,6,41,5.415320000000001,26.590319999999995
82,U1000010,2022-11-19,6,41,2.665501666666666,16.879920000000002
