Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
19580,Fabled Legends: The Dark Piper,Action,T,PC,Big Fish Games,Big Fish Games,,,0.01,,0.01,,0.0,2014.0
19581,Narisokonai Eiyuutan: Taiyou to Tsuki no Monogatari,Role-Playing,,PSP,Irem Software Engineering,Irem Software Engineering,,,0.01,,,0.01,,2009.0
19582,Maximum Racing: Super Truck Racer,Racing,E,Wii,Unknown,Brain in a Jar,,,0.01,0.01,,,0.0,2011.0
19583,World War II Combat: Iwo Jima,Shooter,M,XB,Groove Games,Direct Action Games,,,0.01,0.01,0.0,,0.0,2006.0
19584,G1 Jockey 4 2008,Sports,,PS2,KOEI,Koei/Inis,,,0.01,,,0.01,,2008.0
19585,"Second Novel: Kanojo no Natsu, 15-Bun no Kioku",Adventure,,PSP,Nippon Ichi Software,Nippon Ichi Software,,,0.01,,,0.01,,2010.0
19586,Disney Sports Basketball,Sports,E,GC,Konami,Konami,4.0,,0.01,0.01,0.0,,0.0,2003.0
19587,Neverwinter Nights 2: Storm of Zehir,Role-Playing,T,PC,Atari,Obsidian Entertainment,7.2,,0.01,,0.01,,0.0,2008.0
19588,Street Cleaning Simulator,Simulation,,PC,Excalibur Publishing,TML Studios,1.5,,0.01,,0.01,,,2011.0
19589,Jewel Pet: Kawaii Mahou no Fantasy,Simulation,,DS,MTO,MTO,,,0.01,,,0.01,,2009.0
19590,Kodawari Saihai Simulation: Ocha no Ma Pro Yakyuu DS,Sports,,DS,Now Production,Now Production,,,0.01,,,0.01,,2009.0
19591,School Wars,Misc,,PSP,Quinrose,Unknown,,,0.01,,,0.01,,2012.0
19592,Journey to the Center of the Earth,Adventure,E,DS,THQ,Midway Games,,,0.01,0.01,0.0,,0.0,2008.0
19593,Lost Identities,Adventure,,DS,SVG Distribution,dtp entertainment AG,,,0.01,,0.01,,0.0,2011.0
19594,Suigetsu Portable,Adventure,,PSP,GN Software,GN Software,,,0.01,,,0.01,,2008.0
19595,Kawaii Koneko DS,Simulation,,DS,MTO,MTO,,7.1,0.01,,,0.01,,2008.0
19596,Castle of Shikigami III,Shooter,,X360,Arc System Works,Alfa System,,,0.01,,,0.01,,2007.0
19597,Flowers: Le volume sur hiver,Visual Novel,,PSV,Prototype,Prototype,,,0.01,,,0.01,,2018.0
19598,Kuroyukihime: Snow Black,Misc,,PSP,Quinrose,Unknown,,,0.01,,,0.01,,2014.0
19599,Curse: The Eye of Isis,Adventure,M,XB,DreamCatcher Interactive,Asylum Entertainment,,,0.01,0.01,0.0,,0.0,2003.0
19600,Hakuouki 3D,Adventure,,3DS,Aksys Games,Idea Factory,,,0.01,,0.01,,0.0,2013.0
19601,NBA 2K10,Sports,E,PC,2K Sports,Visual Concepts,,,0.01,,0.01,,0.0,2009.0
19602,Photo Phantasy,Puzzle,E,DS,Zoo Games,Zoo Games,,,0.01,0.01,,,0.0,2011.0
19603,Tetris Ultimate,Puzzle,E,3DS,Ubisoft,Ubisoft Montreal,,,0.01,,0.01,,0.0,2014.0
19604,The Sims: Life Stories,Simulation,T,PC,Electronic Arts,Maxis,,,0.01,,0.01,,0.0,2007.0
19605,Miracle Tunes! Game de Tune Up! Tabun!,Misc,,3DS,FuRyu Corporation,FuRyu,,,0.01,,,0.01,,2017.0
19606,Magus,Misc,,PS3,Aksys Games,Unknown,,,0.01,0.01,,,0.0,2014.0
19607,Traxxpad: Portable Studio,Misc,E10,PSP,Eidos Interactive,Definitive Studios,,,0.01,0.01,,,0.0,2007.0
19608,Legend of Kay Anniversary,Action-Adventure,E10,NS,THQ Nordic,THQ Nordic,6.5,,0.01,,0.01,,0.0,2018.0
19609,Fukakutei Sekai no Tantei Shinshi: Akugyou Futaasa no Jiken File,Adventure,,PS2,Abel,Abel Software,,,0.01,,,0.01,,2009.0
19610,Tom Clancy's Politika,Misc,,PSP,Konami Digital Entertainment,Unknown,,,0.01,,,0.01,,2013.0
19611,Saints Row: Gat out of Hell,Action,,PS3,Deep Silver,Volition Inc.,,,0.01,,0.01,,0.0,2015.0
19612,Valhalla Hills: Definitive Edition,Strategy,T,PS4,Kalypso Media,Daedalic Entertainment,,,0.01,0.01,,,0.0,2017.0
19613,Machi-Ing Maker DS,Simulation,,DS,D3 Publisher,"Indi Software Co., Ltd.",,,0.01,,,0.01,,2008.0
19614,Micro Machines V4,Racing,E,DS,Codemasters,Supersonic Software,,,0.01,0.01,0.0,,0.0,2007.0
19615,Uchi no 3 Shimai DS 2: 3 Shimai no Dekake Daisakusen,Misc,,DS,Culture Brain,Culture Brain,,,0.01,,,0.01,,2009.0
19616,Deadfall Adventures,Misc,,X360,Nordic Games,Unknown,,,0.01,,0.01,,0.0,2013.0
19617,MotoGP 08,Racing,E,PC,Capcom,MileStone Inc.,,,0.01,,0.01,,0.0,2008.0
19618,Quantum Conundrum,Misc,,PS3,Square Enix,Unknown,,,0.01,,0.01,,0.0,2012.0
19619,Simple DS Series Vol. 45: The Misshitsukara no Dasshutsu 2,Adventure,,DS,D3 Publisher,Intense,,,0.01,,,0.01,,2008.0
19620,Maximum Racing: Sprint Cars,Racing,E,Wii,Unknown,Brain in a Jar,,,0.01,0.01,,,0.0,2011.0
19621,Ochaken no Daibouken 2: Yume Ippai no Omocha Hako,Simulation,,DS,MTO,MTO,,,0.01,,,0.01,,2008.0
19622,Chronostacia,Misc,,PSP,Idea Factory,Unknown,,,0.01,,,0.01,,2014.0
19623,4 Play Collection: Treasure Hunters,Puzzle,,PC,Avanquest Software,GSP,,,0.01,,0.01,,0.0,2014.0
19624,Fushigi no Chronicle: Furikaerimasen Katsu Madewa,Action,,PSV,Spike Chunsoft,Spike Chunsoft,,,0.01,,,0.01,,2015.0
19625,FlatOut,Racing,T,Wii,Zoo Games,Team6 Game Studios,,,0.01,0.01,,,0.0,2010.0
19626,Dark Parables: The Little Mermaid and the Purple Tide,Adventure,E10,PC,Astragon,Big Fish Games,,,0.01,,0.01,,0.0,2016.0
19627,Timepiece Ensemble,Adventure,,PSV,Entergram,Unknown,,,0.01,,,0.01,,2017.0
19628,Mean Girls,Puzzle,E10,DS,505 Games,505 Games,,,0.01,0.01,,,0.0,2010.0
19629,Black & White 2: Battle of the Gods,Strategy,T,PC,Electronic Arts,Lionhead Studios,,,0.01,0.01,,,0.0,2006.0
19630,Bus Driver,Simulation,E,PC,Meridian4,SCS Software,,,0.01,,0.01,,,2008.0
19631,"My World, My Way",Role-Playing,E,DS,Atlus,Global A Entertainment,,,0.01,,,0.01,,2009.0
19632,Nanairo Reincarnation,Action,,PSV,Silky`s,Unknown,,,0.01,,,0.01,,2015.0
19633,Shogun: Total War,Strategy,T,PC,Electronic Arts,The Creative Assembly,8.8,,0.01,0.0,0.01,,0.0,2000.0
19634,Memories Off: AfterRain,Adventure,,PSP,5pb,5pb. Games,,,0.01,,,0.01,,2009.0
19635,Burn Zombie Burn!,Shooter,M,PC,P2 Games,Doublesix,,,0.01,,0.01,,0.0,2010.0
19636,Zatch Bell! Mamodo Fury,Fighting,T,PS2,Namco Bandai,Mechanic Arms,,,0.01,0.0,0.0,,0.0,2006.0
19637,AMF Xtreme Bowling,Sports,E,XB,Bethesda Softworks,Mud Duck Productions,,,0.01,0.01,0.0,,0.0,2006.0
19638,Moujuutsukai to Oujisama: Flower & Snow,Action,,PSV,Idea Factory,Unknown,,,0.01,,,0.01,,2015.0
19639,Nintama Rantarou: Gakunen Taikousen Puzzle! no Dan,Puzzle,,DS,Russel,Russel,,,0.01,,,0.01,,2010.0
19640,Professional Fisherman's Tour: Big Bass Open,Sports,RP,3DS,UFO Interactive,Starfish SD,,,0.01,0.01,,,0.0,2011.0
19641,Championship Manager 2007,Sports,,X360,Eidos Interactive,Beautiful Game Studios,,,0.01,,0.01,,0.0,2007.0
19642,Sakura Note: Imanitsu na Garu Mirai,Adventure,,DS,Marvelous Interactive,Marvelous Interactive,,,0.01,,,0.01,,2009.0
19643,Heaven's Hope,Adventure,,PC,EuroVideo Medien,Mosaic,,,0.01,,0.01,,0.0,2016.0
19644,Hoshiiro no Okurimono,Adventure,,PS2,Takuyo,Takuyo,,,0.01,,,0.01,,2007.0
19645,Kurayami no Hate de Kimi o Matsu,Adventure,,DS,D3 Publisher,D3 Publisher,,,0.01,,,0.01,,2009.0
19646,MotorStorm Complete,Racing,,PS3,Sony Computer Entertainment,Evolution Studios,,,0.01,,,0.01,,2008.0
19647,Final Approach 2: 1st Priority Portable,Adventure,,PSP,Princess Soft,Princess Soft,,,0.01,,,0.01,,2009.0
19648,Syberia 2,Adventure,T,NS,Microids,Microids,,,0.01,,0.01,,0.0,2017.0
19649,Hello Kitty Kruisers,Racing,E,WiiU,Bergsala Lightweight,Scarab,,,0.01,0.01,,,0.0,2014.0
19650,PDC World Championship Darts 2008,Sports,,X360,Unknown,Mere Mortals,,,0.01,,0.01,,0.0,2014.0
19651,Kokuga,Misc,,3DS,G.Rev,Unknown,,,0.01,,,0.01,,2012.0
19652,Mahjong * Dream C Club,Misc,,X360,D3Publisher,Unknown,,,0.01,,,0.01,,2012.0
19653,King Arthur Collection,Strategy,T,PC,Paradox Interactive,NeoCoreGames,,,0.01,,0.01,,0.0,2011.0
19654,Memories Off: Omoide ni Kawaru-Kun,Adventure,,PSP,5pb,5pb. Games,,,0.01,,,0.01,,2008.0
19655,Muv-Luv Alternative: Total Eclipse,Misc,,X360,5pb,Unknown,,,0.01,,,0.01,,2013.0
19656,Sword of the Stars: Complete Collection,Strategy,E10,PC,Paradox Interactive,Kerberos Productions,,,0.01,,0.01,,0.0,2010.0
19657,Arcobaleno!,Simulation,,PS2,Idea Factory,Idea Factory,,,0.01,,,0.01,,2009.0
19658,"Koori no Bohyou: Ichiryuuwa, 3-dome no Junan",Strategy,,PSP,Nippon Ichi Software,Nippon Ichi Software,,,0.01,,,0.01,,2010.0
19659,Moe Moe 2-ji Taisen (Ryoku) * Deluxe,Adventure,,PS2,System Soft,System Soft Alpha,,,0.01,,,0.01,,2008.0
19660,Nanatama: Chronicle of Dungeon Maker,Role-Playing,,PSP,Global A Entertainment,Global A Entertainment,,,0.01,,,0.01,,2009.0
19661,7 Wonders of the Ancient World,Puzzle,E,PC,Mumbo Jumbo,Hot Lava Games,,,0.01,,0.01,,0.0,2007.0
19662,Shonen Kininden Tsumuji,Adventure,,DS,Electronic Arts,Neuron Age,,,0.01,,,0.01,,2010.0
19663,WRC 5: FIA World Rally Championship,Racing,E,PC,Bigben Interactive,Kylotonn Entertainment,,,0.01,,0.01,,0.0,2015.0
19664,Nil Admirari no Tenbin: Irodori Nadeshiko,Visual Novel,,NS,Idea Factory,Idea Factory,,,0.01,,,0.01,,2018.0
19665,Handball 16,Sports,,X360,Bigben Interactive,EKO Software,,,0.01,,0.01,,0.0,2015.0
19666,Akagawa Jirou Mystery: Tsuki no Hikari,Adventure,,DS,Marvelous Interactive,Marvelous Interactive,,,0.01,,,0.01,,2008.0
19667,Sengoku Hime 7: Sen'un Tsuranuku Guren no Ishi,Visual Novel,,PSV,System Soft Alpha,Gesen 18,,,0.01,,,0.01,,2018.0
19668,Simple DS Series Vol. 47: The Suiri: Shinshou 2009,Adventure,,DS,D3 Publisher,Tomcat System,,,0.01,,,0.01,,2009.0
19669,Lionheart: Kings' Crusade,Strategy,T,PC,Paradox Interactive,Neocore Games,6.3,,0.01,,0.01,,0.0,2010.0
19670,Mini Yonkyu DS,Racing,,DS,Rocket Company,Rocket Company,,,0.01,,,0.01,,2009.0
19671,Touch Detective Funghi Rhythm,Action,,3DS,Success,Success,,,0.01,,,0.01,,2014.0
19672,Leisure Suit Larry: Box Office Bust,Adventure,M,PC,Codemasters,Team17 Software,,,0.01,,0.01,,0.0,2009.0
19673,Oretachi no Sekai wa Shimatteiru,Adventure,,PSV,RED Entertainment,RED Entertainment,,,0.01,,,0.01,,2017.0
19674,Shounen Sunday & Shounen Magazine: White Comic,Role-Playing,,DS,Konami,Konami,,,0.01,,,0.01,,2009.0
19675,Aliens versus Predator,Shooter,M,PC,Fox Interactive,Rebellion Developments,8.7,,0.01,,0.01,,0.0,1999.0
19676,Game Book DS: Aquarian Age Perpetual Period,Role-Playing,,DS,Broccoli,Broccoli,,,0.01,,,0.01,,2010.0
19677,Majo'ou,Adventure,,PSP,Quinrose,QuinRose,,,0.01,,,0.01,,2014.0
19678,Pro Golfer Saru,Sports,,Wii,Namco Bandai,Eighting,,,0.01,,,0.01,,2008.0
19679,Kimi no Hitomi ni Hit Me,Visual Novel,,PSV,Entergram,Giga,,,0.01,,,0.01,,2018.0
19680,"Utatte Touch, Utouchi!!",Misc,,DS,Konami,Konami,,,0.01,,,0.01,,2010.0
19681,Jagged Alliance 2,Strategy,T,PC,TalonSoft,SirTech,,,0.01,,0.01,,0.0,1999.0
19682,Kidou Senshi Gundam Vol.3 -A Baoa Qu-,Strategy,,WS,Bandai,Bandai,,,0.01,,,0.01,0.0,2002.0
19683,Defender,Shooter,E,GBA,Midway Games,OutLook Entertainment,3.5,,0.01,0.0,0.0,,0.0,2002.0
19684,ATV Drift & Tricks,Racing,E,NS,Microids,Artefacts Studio,,,0.01,0.01,,,0.0,2018.0
19685,Scratches,Adventure,T,PC,Got Game Entertainment,Nucleosys,,,0.01,,0.01,,0.0,2006.0
19686,Discover Europe,Simulation,,PC,Unknown,Unknown,,,0.01,,0.01,,0.0,2006.0
19687,Heiligenstadt no Uta,Adventure,,PSV,Nippon Cultural Broadcasting eXtend,Nippon Cultural Broadcasting eXtend,,,0.01,,,0.01,,2017.0
19688,Koibana Days,Misc,,PSP,Idea Factory,Unknown,,,0.01,,,0.01,,2013.0
19689,Madden NFL 08,Sports,E,PC,EA Sports,EA Tiburon,,,0.01,,0.01,,0.0,2007.0
