step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
124,1.30783,25.8768,75,0,0.6658,1.8378
125,1.31513,25.7868,74,0,0.6764,1.5135
126,1.32237,25.2468,74,0,0.6764,1.3243
127,1.32954,24.8976,72,0,0.6764,1.0946
128,1.33642,24.5484,71,0,0.6817,0.9865
129,1.34325,23.8212,71,0,0.6817,0.7568
130,1.35011,23.8752,71,0,0.6817,0.6757
131,1.35671,22.95,0,0,0.6817,0
132,1.36337,23.9544,0,0,0.6764,0
133,1.37011,23.8896,0,0,0.6764,0
134,1.37677,24.948,72,0,0.6711,0.7973
135,1.38381,24.3504,74,0,0.6711,2.5405
136,1.39056,24.462,75,0,0.6711,3.0541
137,1.39765,25.434,74,0,0.6711,3.7703
138,1.40469,25.5564,74,0,0.6658,3.2703
139,1.4119,26.6364,74,0,0.6658,3.4865
140,1.41985,27.1584,78,0,0.6658,4.0676
141,1.42744,27.7272,79,0,0.6605,3.6486
142,1.43528,27.8748,80,0,0.6605,3.4459
143,1.44312,29.4732,84,0,0.6605,5.6622
144,1.45179,30.5568,88,0,0.6553,5.1351
145,1.46039,30.528,89,0,0.6553,2.7703
146,1.46846,29.0088,89,0,0.6553,1.8243
147,1.47641,28.3392,89,0,0.6605,1.8243
148,1.48455,27.8964,47,0,0.6658,1.027
149,1.49234,27.864,83,0,0.6658,1.0946
150,1.50019,28.278,83,0,0.6658,1.6892
151,1.50833,28.8072,83,0,0.6658,1.2973
152,1.5167,29.43,84,0,0.6658,1.5541
153,1.52473,29.3184,84,0,0.6658,1.9324
154,1.53293,28.3464,85,0,0.6658,1.9865
155,1.54115,29.9592,85,0,0.6658,2.1622
156,1.54942,28.728,85,0,0.6658,2.2297
157,1.55765,29.664,86,0,0.6605,2.2027
158,1.56622,30.0168,86,0,0.6658,2.2297
159,1.57508,30.1104,86,0,0.6817,2.2297
160,1.58367,30.0996,87,0,0.6817,1.9865
161,1.59207,29.5092,87,0,0.6817,1.8108
162,1.60031,29.3904,87,0,0.6817,2
163,1.60853,29.3364,81,0,0.6817,1.6757
164,1.61695,29.3256,78,0,0.6817,1.7027
165,1.62541,30.6252,78,0,0.6817,1.8649
166,1.63436,30.8808,78,0,0.687,2
167,1.64256,29.9484,80,0,0.687,2.5811
168,1.65133,30.6648,79,0,0.687,3.0811
169,1.65982,30.3804,82,0,0.6922,2.8108
170,1.66836,30.6864,81,0,0.6922,2.1622
171,1.67662,30.7332,81,0,0.6975,1.9189
172,1.68584,31.2264,81,0,0.6975,1.5946
173,1.69429,29.6388,81,0,0.6975,1.8243
174,1.7026,28.494,79,0,0.6975,1.8514
175,1.711,29.5776,78,0,0.7028,2.1757
176,1.71961,29.5524,78,0,0.7028,2.4865
177,1.72829,30.2976,78,0,0.7028,2.7297
178,1.73691,30.3084,79,0,0.7081,2.8108
179,1.74525,30.3264,79,0,0.7134,2.3108
180,1.75453,30.3516,78,0,0.7134,1.8784
181,1.76307,30.3048,79,0,0.7134,2.027
182,1.7716,30.1644,79,0,0.7134,2.0946
183,1.77994,29.1276,79,0,0.7081,2.1351
184,1.78814,29.2248,79,0,0.7081,2.1486
185,1.79656,29.9448,79,0,0.7081,2.1486
186,1.80496,29.8692,79,0,0.7081,2.3514
187,1.81341,29.9628,80,0,0.7081,2.473
188,1.82194,31.1076,80,0,0.7081,2.3784
189,1.83073,29.4516,79,0,0.7081,2.6081
190,1.83925,30.6072,80,0,0.7081,2.6216
191,1.84763,30.5856,80,0,0.7081,2.2568
192,1.85651,30.474,80,0,0.7081,1.973
193,1.86507,30.3768,79,0,0.7028,1.7432
194,1.87361,30.7728,79,0,0.7028,2.1892
195,1.88269,31.0572,80,0,0.6975,2.7973
196,1.89142,31.0464,80,0,0.6975,2.5
197,1.90027,31.9176,80,0,0.6975,2.2027
198,1.90899,31.2768,80,0,0.7028,2.3514
199,1.91767,30.8304,81,0,0.7028,2.6622
200,1.92664,31.5,81,0,0.7028,3.0405
201,1.93528,31.9176,82,0,0.7081,2.3514
202,1.94412,31.4028,83,0,0.7081,2
203,1.95308,32.184,84,0,0.7081,1.8919
204,1.96216,32.4792,84,0,0.7081,1.6216
205,1.97116,32.5656,84,0,0.7081,1.5
206,1.98047,32.5152,84,0,0.7081,1.8784
207,1.9894,31.6548,84,0,0.7028,2.2703
208,1.9982,30.5676,82,0,0.7028,2.3243
209,2.00667,30.6756,82,0,0.6975,2.7703
210,2.01534,30.7656,81,0,0.6975,2.8378
211,2.02382,30.7368,81,0,0.6922,2.9324
212,2.03241,31.05,80,0,0.6922,3.2027
213,2.04083,30.6828,81,0,0.6922,3.4189
