,step,actual,predicted
0,0.0,1.910416667,1.4968623381019945
1,1.0,1.55875,1.6113571103549829
2,2.0,1.823541667,1.8753801119019813
3,3.0,1.993333333,2.1216168953990024
4,4.0,0.875431034,1.2043948690660091
5,5.0,1.348214286,1.2742798927070116
6,6.0,2.65327381,2.5357099299359813
7,7.0,2.2225,2.3540789285620027
8,8.0,2.272083333,2.383265739321976
9,9.0,2.115178571,1.9670940283319631
10,10.0,2.044791667,2.4060213987009798
11,11.0,2.180833333,2.2035791420109976
12,12.0,2.356875,2.497776453669978
13,13.0,2.332083333,2.4505802081349626
14,14.0,2.266875,2.31607312495499
15,15.0,2.744375,2.640517916626025
16,16.0,2.300208333,2.4642476486329716
17,17.0,2.389166667,2.554338214464986
18,18.0,2.422916667,2.4904626694399847
19,19.0,2.316458333,2.377029672454963
20,20.0,2.741666667,2.6504444942589855
21,21.0,1.792291667,1.8390583564879868
22,22.0,1.946875,1.9564135143320216
23,23.0,2.546875,2.5365529414009935
24,24.0,2.797708333,2.8581570327860075
25,25.0,2.581041667,2.73927528866401
26,26.0,2.618125,3.367981266179022
27,27.0,3.617708333,3.5890202610269935
28,28.0,2.351041667,2.3042240273799766
29,29.0,3.187708333,3.1469257465430296
30,30.0,2.22,2.2002015488420046
31,31.0,1.836666667,1.9487892546079788
32,32.0,2.426458333,2.497826190269016
33,33.0,2.599583333,2.650705015832992
34,34.0,3.444791667,3.535378878413014
35,35.0,1.905405405,2.0073127017870043
36,36.0,2.421323529,1.8612210520249943
37,37.0,1.68875,1.8084005072590097
38,38.0,3.23375,3.112571051209995
39,39.0,2.200833333,2.290052881453993
40,40.0,2.671458333,2.773262339781
41,41.0,3.227916667,3.228964263013024
42,42.0,1.692708333,1.9503691779389856
43,43.0,2.599375,2.5743025062739777
44,44.0,2.369583333,2.3283639762079993
45,45.0,3.090625,2.624580345316984
46,46.0,2.107708333,2.3606020471749827
47,47.0,1.401041667,2.0280730633560156
48,48.0,2.947916667,2.670391244412989
49,49.0,4.042916667,3.8400002727290485
50,50.0,3.245625,3.0869703571120026
51,51.0,3.00625,2.9319662500579615
52,52.0,2.680416667,2.775946666881961
53,53.0,2.532083333,2.729575395880007
54,54.0,3.602291667,3.5525918157449783
55,55.0,2.189375,2.333073636333981
56,56.0,4.254166667,3.540401994197964
57,57.0,2.805208333,2.7894754051839996
58,58.0,2.666041667,2.774771458545009
59,59.0,2.39375,2.5090527130430043
60,60.0,2.121875,2.1849851517720076
61,61.0,4.402644231,3.975879155427024
62,62.0,2.61625,2.7023375160900196
63,63.0,2.519791667,2.61052145853598
64,64.0,2.664583333,2.723620734673002
65,65.0,3.292708333,2.97922182409502
66,66.0,2.99375,2.2692472042159997
67,67.0,3.22375,3.259886682774048
68,68.0,2.767083333,2.838872231940978
69,69.0,2.50625,2.909379288030994
70,70.0,2.684375,2.6923632852509924
71,71.0,2.381666667,2.3121320361179913
72,72.0,3.15875,3.0901576924420184
73,73.0,2.058541667,2.337967291883025
74,74.0,4.498958333,4.059749999816941
75,75.0,5.128958333,4.548125898859943
76,76.0,3.385416667,3.570127644386966
77,77.0,2.955416667,3.0745630590180095
78,78.0,3.967083333,3.7231810254640196
79,79.0,4.098333333,3.8894892541990083
80,80.0,3.313125,3.5891491026489812
81,81.0,4.428333333,3.957233001742987
82,82.0,3.284166667,3.5986990684970084
83,83.0,3.717916667,3.5665125147520125
84,84.0,2.232908163,2.2892976506140195
85,85.0,2.449583333,2.4458262237680026
86,86.0,1.77,1.8104561213079897
87,87.0,2.443560606,2.210007743726971
88,88.0,3.3775,3.114110646338028
89,89.0,2.697291667,2.8658260341560196
90,90.0,1.820652174,2.021652448940016
91,91.0,4.300707547,3.4712788782110175
92,92.0,2.485,2.669139266580998
93,93.0,3.478333333,3.1342043385490204
94,94.0,2.405208333,2.569164791481984
95,95.0,1.327083333,1.5543201784850085
96,96.0,1.867708333,2.0043226022170333
97,97.0,0.343548387,0.8209565245060152
98,98.0,2.118229167,1.2985268683990097
99,99.0,2.313541667,2.364644336395004
100,100.0,2.223125,2.322328528341988
101,101.0,2.505833333,2.4199918896810044
102,102.0,2.352708333,2.450103373673003
103,103.0,1.123922414,1.3992912070599977
104,104.0,2.82625,2.2667974420189996
105,105.0,3.986041667,3.7396161220569946
106,106.0,3.223541667,3.317847965009031
107,107.0,2.629375,2.751370817319988
108,108.0,2.613541667,2.702335255651979
109,109.0,3.388958333,3.178283050948002
110,110.0,3.678125,3.3179102083149585
111,111.0,2.801041667,2.6085537840389983
112,112.0,3.122916667,3.298707708607021
