step,enhanced_speed,cadence,max_heart_rate_perct,power,power_prediction,residual,power_predict
73,45.58746,87.01666667,0.876338333,2.058541667,2,-0.9375549455949774,2.9960966125949775
74,31.76376,88.23333333,0.873968333,4.498958333,3,1.4527875416529041,3.046170791347096
75,19.29504,89.6,0.94569,5.128958333,3,1.796927927891876,3.332030405108124
76,31.87536,97.08333333,0.964988333,3.385416667,3,-0.35917273033844044,3.7445893973384403
77,44.45238,96.28333333,0.925766667,2.955416667,3,-0.6303653813520214,3.5857820483520215
78,38.87304,100.0166667,0.905841667,3.967083333,3,0.2667059211234335,3.7003774118765667
79,28.6956,94.71666667,0.928646667,4.098333333,3,0.5775606260680712,3.520772706931929
80,31.41288,93.83333333,0.947798333,3.313125,3,-0.22509932598717253,3.5382243259871724
81,26.51016,95.23333333,0.94085,4.428333333,3,0.8455196500755764,3.582813682924424
82,22.16592,89.23333333,0.94535,3.284166667,3,-0.029518587132333796,3.313685254132334
83,24.24264,90.83333333,0.923216667,3.717916667,3,0.3970819164745918,3.320834750525408
84,27.68392653,77.10204082,0.928083673,2.232908163,2,-0.4552469383784694,2.6881551013784692
85,32.65398,83.85,0.84965,2.449583333,2,-0.3147590902741668,2.764342423274167
86,40.53216,64.8,0.80147,1.77,1,0.05296821704964749,1.7170317829503525
87,27.55549091,69.48484848,0.738890909,2.443560606,1,0.6987174423123745,1.7448431636876256
88,36.35976,86.6,0.834293333,3.3775,2,0.5308441625544895,2.8466558374455104
89,34.6902,89.08333333,0.894955,2.697291667,3,-0.4537562381567555,3.1510479051567555
90,46.34843478,78.76086957,0.850197826,1.820652174,2,-0.705327652498924,2.525979826498924
91,36.68868679,94.24528302,0.820762264,4.300707547,3,1.1351930502250416,3.1655144967749584
92,34.70592,86.13333333,0.901968333,2.485,3,-0.5485458848952449,3.033545884895245
93,55.15872,86.81666667,0.85194,3.478333333,2,0.5669847198286018,2.9113486131713984
94,42.32628,86.36666667,0.868168333,2.405208333,2,-0.535008285327172,2.940216618327172
95,26.71902,67.66666667,0.806818333,1.327083333,1,-0.5416782711605523,1.8687616041605524
96,29.85012,77.51666667,0.760128333,1.867708333,2,-0.32155147148326524,2.189259804483265
97,19.10194839,48.74193548,0.718445161,0.343548387,0,-0.3597411489080471,0.7032895359080471
98,19.21425,67.04166667,0.6499625,2.118229167,1,0.7631393559564326,1.3550898110435674
99,35.8899,86.65,0.75476,2.313541667,2,-0.2899650978593611,2.603506764859361
100,41.66586,86.5,0.786891667,2.223125,2,-0.4724919590227499,2.69561695902275
101,43.94238,78.1,0.811201667,2.505833333,2,0.13140198372068523,2.3744313492793148
102,43.27596,83.55,0.80436,2.352708333,2,-0.25767963532049665,2.6103879683204965
103,27.19787586,61.94827586,0.760541379,1.123922414,1,-0.33225332943055497,1.456175743430555
104,36.30624,77.23333333,0.801206667,2.82625,2,0.5235522885510382,2.3026977114489617
105,46.40976,95.81666667,0.852636667,3.986041667,3,0.6480136574880095,3.3380280095119903
106,47.90934,92.46666667,0.878351667,3.223541667,3,-0.03584563532197782,3.259387302321978
107,45.15516,89.23333333,0.848945,2.629375,3,-0.38672236176886,3.01609736176886
108,46.14162,85.46666667,0.82789,2.613541667,2,-0.15988884086210575,2.7734305078621055
109,46.58208,89.06666667,0.837805,3.388958333,2,0.41511013965699517,2.973848193343005
110,43.80306,84.25,0.879943333,3.678125,2,0.8014036140196383,2.8767213859803618
111,30.20718,82.05,0.847978333,2.801041667,2,0.12676520884449616,2.6742764581555036
112,35.4306,91.0,0.8584,3.122916667,3,-0.005700321833426614,3.1286169888334268
