,distance,enhanced_avg_speed,avg_wpkg,avg_power,avg_heart_rate,avg_max_heart_rate_perct,day_of_week,hour
distance,1.0,0.1662159411375576,0.11410772134789254,0.1829352678793586,0.16271086947930233,0.1341741680822915,0.12461147513907492,-0.34245093823420514
enhanced_avg_speed,0.1662159411375576,1.0,0.6310014204773198,0.48062995267931347,0.558014343369064,0.489694144411789,-0.09615238545612668,0.10786566369032038
avg_wpkg,0.11410772134789254,0.6310014204773198,1.0,0.6746480034620195,0.7200258439251194,0.5340117187814107,-0.0023115042674692896,0.279759576808681
avg_power,0.1829352678793586,0.48062995267931347,0.6746480034620195,1.0,0.5525427745473868,0.4929493420210229,0.03403235806912792,0.01577477275471167
avg_heart_rate,0.16271086947930233,0.558014343369064,0.7200258439251194,0.5525427745473868,1.0,0.9282535681185501,0.050754736356038097,0.273183851801498
avg_max_heart_rate_perct,0.1341741680822915,0.489694144411789,0.5340117187814107,0.4929493420210229,0.9282535681185501,1.0,0.0759727335376949,0.20259390846000513
day_of_week,0.12461147513907492,-0.09615238545612668,-0.0023115042674692896,0.03403235806912792,0.050754736356038097,0.0759727335376949,1.0,-0.14874779886622627
hour,-0.34245093823420514,0.10786566369032038,0.279759576808681,0.01577477275471167,0.273183851801498,0.20259390846000513,-0.14874779886622627,1.0
