step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power
133,30.1248,87,0,10,0.711,1.85
134,29.8404,87,0,10,0.711,1.7375
135,29.916,87,0,9.8,0.711,1.7
136,29.5416,87,0,9.8,0.711,1.725
137,29.5344,87,0,9.8,0.7162,1.675
138,29.4768,83,0,9.8,0.7215,1.725
139,29.0124,83,0,9.8,0.732,1.6625
140,28.8756,83,0,9.8,0.732,1.3875
141,28.1556,83,0,9.8,0.732,1.125
142,28.0548,81,0,9.8,0.732,1.1625
143,27.3744,80,0,9.8,0.7268,1.4375
144,27.4896,80,0,9.8,0.7215,1.7875
145,27.6192,80,0,9.8,0.7215,2.1375
146,27.5184,80,0,10,0.7215,2.3125
147,27.5544,80,0,10,0.7215,2.375
148,27.0828,80,0,10,0.7215,2.4375
149,27.1908,80,0,10.2,0.7268,2.525
150,27.8712,80,0,10.2,0.7268,2.475
151,27.9036,80,0,10.2,0.7268,2.4375
152,27.936,80,0,10.2,0.732,2.525
153,27.918,80,0,10.2,0.732,2.5
154,28.2204,80,0,10.2,0.732,2.3875
155,28.1016,80,0,10.2,0.732,2.2625
156,27.7236,80,0,10.2,0.7373,2.1875
157,27.7632,80,0,10.4,0.7373,2.2625
158,27.7056,80,0,10.4,0.7373,2.3
159,27.6264,80,0,10.6,0.7426,2.2375
160,27.6444,80,0,10.6,0.7426,2.275
161,27.6372,80,0,10.6,0.7426,2.3125
162,27.5832,80,0,10.6,0.7426,2.2625
163,28.1052,80,0,10.6,0.7478,2.275
164,27.6192,80,0,10.6,0.7478,2.3625
165,27.9648,80,0,10.8,0.7478,2.375
166,27.9792,80,0,10.8,0.7531,2.2
167,27.9864,80,0,10.8,0.7531,2.2375
168,27.9972,80,0,10.8,0.7531,2.2875
169,27.5904,80,0,10.8,0.7531,2.075
170,28.0332,80,0,10.8,0.7531,1.8875
171,28.0224,80,0,10.8,0.7584,1.825
172,27.6948,80,0,10.8,0.7584,1.7
173,27.7164,80,0,10.8,0.7584,1.575
174,27.6084,80,0,10.8,0.7584,1.6125
175,27.2124,80,0,11,0.7584,1.7875
176,27.2052,80,0,11,0.7531,2
177,27.162,80,0,11,0.7531,2.1125
