Recording_URL,Publicly_Shared,Already_Watched,Comments,Labels,Created,New___Returning,Hotjar_User_ID,Country,Action_Count,Page_Count,Duration__seconds_,Device,Device_Screen_Size,Browser,Operating_System,Referrer_URL,Landing_Page_URL,Exit_Page_URL,Rage_Clicked,U_Turned,Incoming_Feedback,Net_Promoter_Score__,Events
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/27/2023 20:07:26,New user,866a53b0,KZ,2,1,68,Phone,428 X 741,Google,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClIKCQjwl6OiBhDaARJBAMy4p4thw2BOzqOtTEdks4UqVEeywFqAynC2buRhc7xtNw_sxhfqT3rkbijJaVCbxx-cB4s_0Vz7OamDQ5JSGFoaApZO,https://WEBSITE-NAME.com.au/?wbraid=ClIKCQjwl6OiBhDaARJBAMy4p4thw2BOzqOtTEdks4UqVEeywFqAynC2buRhc7xtNw_sxhfqT3rkbijJaVCbxx-cB4s_0Vz7OamDQ5JSGFoaApZO,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/18/2023 16:10:09,Returning user,6fc1a7ec,IQ,3,1,48,Phone,428 X 742,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw3POhBhAqEkEAoLD1OWTufPzluol4b1qnA_jToWLwHeLhnAxYOz7wwBvj_d09VFew5kfpMXCyEP3Ivp8-Ah2fUY5aTeFxSr0dmhoCMV4,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw3POhBhAqEkEAoLD1OWTufPzluol4b1qnA_jToWLwHeLhnAxYOz7wwBvj_d09VFew5kfpMXCyEP3Ivp8-Ah2fUY5aTeFxSr0dmhoCMV4,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/25/2023 6:02:54,New user,378b6221,AU,15,1,31,Phone,428 X 746,Safari,Ios,,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/17/2023 13:47:38,Returning user,7534e13f,AU,26,1,321,Phone,428 X 746,Safari,Ios,,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/5/2023 19:52:34,New user,e209cac1,TR,4,1,92,Phone,428 X 752,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwla-hBhB1EkEAihG0FusEkhcWUchAkMirBYqo07GXXC9Vz9dUq-IqYPS5OUO0k9zZ1D8wE1WBnMd_0hhDSHOVzHHddyof2uDkzRoCKCg,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwla-hBhB1EkEAihG0FusEkhcWUchAkMirBYqo07GXXC9Vz9dUq-IqYPS5OUO0k9zZ1D8wE1WBnMd_0hhDSHOVzHHddyof2uDkzRoCKCg,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/14/2023 20:36:03,New user,627d4c14,IQ,5,1,193,Phone,428 X 752,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw0N6hBhBQEkEAA4TDzdAkTCayQOW9H8ZuNjqUlbja1WhI9Tk6NMXGrIAD8dzHf3QIeebn8nZxwILXUYmhN7qYEkWqukxgZwsT1hoC8x4,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw0N6hBhBQEkEAA4TDzdAkTCayQOW9H8ZuNjqUlbja1WhI9Tk6NMXGrIAD8dzHf3QIeebn8nZxwILXUYmhN7qYEkWqukxgZwsT1hoC8x4,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/26/2023 15:01:09,New user,dea17ced,IQ,1,1,838,Phone,428 X 752,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw9J2iBhAqEkEAj83w5jxA9MZDCnOYAOwq-mgmnH3AUeYv0yuWu_I7RaT6cFyBMq9Ne5CT6Hz_ETiWsCHlzkXTMF1UT2moQKtiAxoCsuo,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw9J2iBhAqEkEAj83w5jxA9MZDCnOYAOwq-mgmnH3AUeYv0yuWu_I7RaT6cFyBMq9Ne5CT6Hz_ETiWsCHlzkXTMF1UT2moQKtiAxoCsuo,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/25/2023 13:13:59,New user,6a428006,IQ,6,1,34,Phone,430 X 738,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw0ZiiBhBgEkEAiIlrqyaEw138uDOwGshXxGIzZ1eZFPK2JwB3l5ofUt7KbPNbcK1xGH2iKdUkbe8jVosY0qLKLjgWY5YDd65GUhoC9R4,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw0ZiiBhBgEkEAiIlrqyaEw138uDOwGshXxGIzZ1eZFPK2JwB3l5ofUt7KbPNbcK1xGH2iKdUkbe8jVosY0qLKLjgWY5YDd65GUhoC9R4,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/30/2023 9:04:33,Returning user,679df65c,PK,4,2,57,Phone,430 X 741,Chrome,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwgLOiBhAdEkEAgNE4a9bvm0vXDJoUT509YMHNN_KTtJ2zuj-BNGyifeEVAmkHLM-iXhXrc0HO_nZK_hqktIg2g0b0qjp_BK5AsRoCV0c,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwgLOiBhAdEkEAgNE4a9bvm0vXDJoUT509YMHNN_KTtJ2zuj-BNGyifeEVAmkHLM-iXhXrc0HO_nZK_hqktIg2g0b0qjp_BK5AsRoCV0c,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/30/2023 9:51:48,Returning user,679df65c,PK,4,1,97,Phone,430 X 741,Chrome,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwgLOiBhAdEkEAgNE4a9bvm0vXDJoUT509YMHNN_KTtJ2zuj-BNGyifeEVAmkHLM-iXhXrc0HO_nZK_hqktIg2g0b0qjp_BK5AsRoCV0c,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwgLOiBhAdEkEAgNE4a9bvm0vXDJoUT509YMHNN_KTtJ2zuj-BNGyifeEVAmkHLM-iXhXrc0HO_nZK_hqktIg2g0b0qjp_BK5AsRoCV0c,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/15/2023 23:27:14,New user,acd738b9,JO,1,1,39,Phone,430 X 745,Chrome,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw8-OhBhBhEkEA9moRv66QLDfZQB2gvUz6_7vPRBmvwh5FlolJsb4TSpPoyTSITo61ig9l1q1ZfcQr03Dsm4hOWtH5QDkJiHrw8hoC0J4,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw8-OhBhBhEkEA9moRv66QLDfZQB2gvUz6_7vPRBmvwh5FlolJsb4TSpPoyTSITo61ig9l1q1ZfcQr03Dsm4hOWtH5QDkJiHrw8hoC0J4,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/20/2023 22:03:24,Returning user,e690d2ca,AU,2,1,41,Phone,436 X 760,Safari,Ios,,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/23/2023 5:26:17,New user,490fc15f,AU,3,1,100,Phone,436 X 760,Safari,Ios,,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/18/2023 14:15:34,Returning user,74be913f,IQ,2,1,182,Phone,507 X 925,Chrome,Android,,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/17/2023 3:32:06,Returning user,e0ead81c,AU,11,3,36,Phone,560 X 952,Chrome,Android,,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/17/2023 3:45:28,Returning user,e0ead81c,AU,20,3,90,Phone,560 X 952,Chrome,Android,,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/11/2023 8:26:55,Returning user,720441c7,AU,19,8,290,Tablet,586 X 761,Chrome,Android,,https://WEBSITE-NAME.com.au/,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,5/2/2023 3:19:48,Returning user,b7035ebc,AU,15,2,101,Tablet,600 X 888,Samsung,Android,,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/14/2023 23:02:36,New user,30e1dde5,AU,7,1,35,Phone,607 X 231,Safari,Ios,,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
