,userID,date_AEST,distance,enhanced_avg_speed,avg_power,avg_wpkg,avg_heart_rate,avg_max_heart_rate_perct,enhanced_duration,weekend,day_of_week,hour,day_cat
49,U1000000,2022-07-29,35.49,29.16,214.46,2.68,155.56,0.82,01:13:02,False,6,6,MORNING
50,U1000000,2021-04-17,77.02,26.52,238.47,2.98,151.08,0.8,02:54:15,True,7,6,MORNING
51,U1000000,2021-04-24,75.69,26.63,232.46,2.91,152.0,0.8,02:50:32,True,7,6,MORNING
52,U1000000,2021-05-01,31.09,30.72,232.41,2.91,121.36,0.64,01:00:44,True,7,6,MORNING
53,U1000000,2022-01-22,64.97,33.3,239.4,2.99,165.86,0.87,01:57:04,True,7,6,MORNING
54,U1000000,2022-11-12,80.0,34.89,234.86,2.94,163.21,0.86,02:17:35,True,7,6,MORNING
55,U1000000,2022-11-19,64.52,36.16,225.99,2.82,158.74,0.84,01:47:03,True,7,6,MORNING
56,U1000000,2021-10-03,75.96,31.04,230.34,2.88,169.17,0.89,02:26:50,True,1,7,MORNING
57,U1000000,2021-12-26,68.51,30.99,229.96,2.87,152.4,0.8,02:12:39,True,1,7,MORNING
58,U1000000,2022-04-03,30.98,31.61,232.57,2.91,173.93,0.92,00:58:48,True,1,7,MORNING
59,U1000000,2022-07-03,65.29,30.72,235.46,2.94,158.31,0.83,02:07:32,True,1,7,MORNING
60,U1000000,2021-09-27,32.73,32.57,232.5,2.91,166.61,0.88,01:00:18,False,2,7,MORNING
61,U1000000,2022-01-10,35.53,28.41,238.41,2.98,167.68,0.88,01:15:03,False,2,7,MORNING
62,U1000000,2022-03-21,32.64,32.82,223.87,2.8,156.79,0.83,00:59:41,False,2,7,MORNING
63,U1000000,2022-04-18,21.03,28.7,191.53,2.39,142.77,0.75,00:43:58,False,2,7,MORNING
64,U1000000,2022-06-13,36.99,28.87,224.15,2.8,157.19,0.83,01:16:52,False,2,7,MORNING
65,U1000000,2022-10-31,30.41,24.19,219.04,2.74,158.71,0.84,01:15:26,False,2,7,MORNING
66,U1000000,2021-11-02,61.92,31.52,222.31,2.78,158.11,0.83,01:57:52,False,3,7,MORNING
67,U1000000,2022-04-05,61.98,31.88,240.11,3.0,170.3,0.9,01:56:39,False,3,7,MORNING
68,U1000000,2022-09-20,35.83,32.67,232.37,2.9,174.6,0.92,01:05:49,False,3,7,MORNING
69,U1000000,2022-10-11,29.49,27.35,161.2,2.02,136.14,0.72,01:04:42,False,3,7,MORNING
70,U1000000,2021-12-22,37.81,29.6,240.4,3.01,163.77,0.86,01:16:38,False,4,7,MORNING
71,U1000000,2021-12-29,88.82,29.41,244.45,3.06,152.7,0.8,03:01:12,False,4,7,MORNING
