,userID,date_AEST,distance,enhanced_avg_speed,avg_power,avg_wpkg,avg_heart_rate,avg_max_heart_rate_perct,enhanced_duration,weekend,day_of_week,hour,day_cat
49,U1000009,2022-02-15,44.56,27.72,260.02,2.2,139.27,0.77,01:36:27,False,3,5,MORNING
50,U1000009,2022-05-10,44.43,25.14,235.31,1.99,145.78,0.8,01:46:03,False,3,5,MORNING
51,U1000009,2022-06-28,42.56,24.74,258.05,2.19,150.06,0.83,01:43:13,False,3,5,MORNING
52,U1000009,2022-07-12,44.25,24.15,250.23,2.12,150.99,0.83,01:49:57,False,3,5,MORNING
53,U1000009,2022-07-19,44.39,25.94,262.04,2.22,151.47,0.83,01:42:40,False,3,5,MORNING
54,U1000009,2022-09-06,44.46,25.7,254.95,2.16,145.25,0.8,01:43:48,False,3,5,MORNING
55,U1000009,2022-09-13,44.4,23.26,232.92,1.97,136.04,0.75,01:54:32,False,3,5,MORNING
56,U1000009,2022-10-18,38.97,25.49,248.58,2.11,141.96,0.78,01:31:44,False,3,5,MORNING
57,U1000009,2022-11-08,44.41,26.08,267.7,2.27,142.29,0.78,01:42:10,False,3,5,MORNING
58,U1000009,2022-11-15,44.41,26.05,263.39,2.23,139.23,0.77,01:42:17,False,3,5,MORNING
59,U1000010,2021-02-02,34.54,23.59,169.02,1.97,126.77,0.75,01:27:51,False,3,5,MORNING
60,U1000010,2021-02-09,45.66,24.74,172.98,2.01,134.09,0.79,01:50:45,False,3,5,MORNING
61,U1000010,2021-09-28,37.47,23.66,153.4,1.78,128.21,0.75,01:35:01,False,3,5,MORNING
62,U1000010,2021-11-30,27.31,24.61,164.26,1.91,137.34,0.81,01:06:35,False,3,5,MORNING
63,U1000010,2022-03-15,34.96,24.94,175.61,2.04,129.48,0.76,01:24:07,False,3,5,MORNING
64,U1000010,2022-03-22,35.56,22.5,177.53,2.06,127.06,0.75,01:34:49,False,3,5,MORNING
65,U1000010,2022-10-04,19.72,23.92,172.72,2.01,130.25,0.77,00:49:28,False,3,5,MORNING
66,U1000010,2022-10-11,21.13,24.66,173.74,2.02,118.01,0.69,00:51:25,False,3,5,MORNING
67,U1000010,2022-10-18,24.24,25.45,177.61,2.07,129.56,0.76,00:57:08,False,3,5,MORNING
68,U1000000,2021-03-10,62.93,29.76,245.89,3.07,103.66,0.55,02:06:52,False,4,5,MORNING
69,U1000000,2021-03-31,55.75,33.6,241.29,3.02,170.84,0.9,01:39:33,False,4,5,MORNING
70,U1000003,2022-10-12,29.47,30.77,249.07,3.07,160.87,0.85,00:57:28,False,4,5,MORNING
71,U1000003,2022-10-19,35.03,31.05,274.39,3.39,166.67,0.88,01:07:42,False,4,5,MORNING
72,U1000004,2022-01-26,103.14,31.92,205.75,2.78,147.66,0.78,03:13:52,False,4,5,MORNING
73,U1000004,2022-10-19,38.5,31.49,256.15,3.46,167.06,0.88,01:13:22,False,4,5,MORNING
74,U1000004,2022-11-09,34.51,27.35,203.2,2.75,194.38,1.03,01:15:42,False,4,5,MORNING
75,U1000009,2021-09-01,40.43,25.74,253.2,2.15,152.65,0.84,01:34:14,False,4,5,MORNING
76,U1000009,2021-09-08,40.25,25.99,253.2,2.15,147.93,0.81,01:32:55,False,4,5,MORNING
77,U1000009,2021-10-06,40.5,26.56,265.75,2.25,147.22,0.81,01:31:30,False,4,5,MORNING
78,U1000009,2021-10-13,41.45,26.64,269.82,2.29,144.9,0.8,01:33:22,False,4,5,MORNING
79,U1000009,2021-10-20,41.13,25.51,259.7,2.2,141.23,0.78,01:36:44,False,4,5,MORNING
80,U1000009,2021-10-27,40.91,27.31,273.82,2.32,146.36,0.81,01:29:53,False,4,5,MORNING
81,U1000009,2021-12-01,40.67,28.64,262.11,2.22,145.0,0.8,01:25:12,False,4,5,MORNING
82,U1000009,2021-12-08,40.52,27.78,266.54,2.26,146.93,0.81,01:27:31,False,4,5,MORNING
83,U1000009,2021-12-22,40.53,27.82,263.84,2.24,147.28,0.81,01:27:25,False,4,5,MORNING
84,U1000009,2022-01-12,44.06,25.22,253.97,2.15,129.49,0.71,01:44:49,False,4,5,MORNING
85,U1000009,2022-02-02,41.3,25.21,254.91,2.16,135.92,0.75,01:38:17,False,4,5,MORNING
86,U1000009,2022-02-09,49.84,27.69,257.79,2.18,142.62,0.79,01:48:00,False,4,5,MORNING
87,U1000009,2022-05-04,40.56,27.15,247.23,2.1,151.56,0.83,01:29:38,False,4,5,MORNING
88,U1000009,2022-08-10,40.41,25.69,255.57,2.17,145.18,0.8,01:34:23,False,4,5,MORNING
89,U1000009,2022-10-19,36.3,26.95,260.26,2.21,150.27,0.83,01:20:49,False,4,5,MORNING
